movie_name,male_mentions,male_total_centrality,male_avg_centrality,male_cast_count,female_mentions,female_total_centrality,female_avg_centrality,female_cast_count,mentions_ratio,centrality_ratio,cast_ratio,avg_centrality_diff
Agent Vinod,0.0,2844.0,3.8349133865345406,13,0.0,1943.9999999999995,2.5102820526288143,4,0.0,1.4629629622104103,3.2499991875002032,1.3246313339057263
Aggar,6.0,187.0,5.804285714285714,2,8.0,408.5,4.116236484129752,2,0.7499999062500118,0.45777233670067974,0.99999950000025,1.6880492301559622
Agneekaal,7.0,68.36666666666667,0.9495370370370372,3,1.0,1425.0,30.31914893617021,1,6.9999930000070005,0.04797660815346671,2.9999970000030003,-29.369611899133172
Agneepath,77.0,7944.33492063492,4.25423066188463,17,40.0,3259.6333333333337,7.227274635986686,6,1.9249999518750014,2.4371866727948133,2.83333286111119,-2.9730439741020556
Agni Sakshi,57.0,779.5,2.8718838608347514,4,71.0,777.0,2.028804528804529,2,0.8028168901011706,1.003217501926361,1.9999990000005,0.8430793320302223
Agni Varsha,56.0,4118.3,5.435409080816208,6,26.0,1383.8,5.255331382529003,4,2.1538460710059204,2.9760803562826417,1.4999996250000938,0.18007769828720477
Agnichakra,127.0,19867.869161432267,5.414652900954045,5,42.0,20115.93657744999,19.662335083134906,2,3.023809451814061,0.9876681149768848,2.499998750000625,-14.24768218218086
Agnipankh,0.0,223.0,3.258823529411765,3,0.0,33.0,0.8582342954159592,2,0.0,6.757575552800741,1.499999250000375,2.400589233995806
Ahista Ahista,47.0,4149.966666666667,15.38884355029029,3,38.0,1882.666666666667,6.360360360360361,1,1.2368420727146823,2.2043024067611707,2.9999970000030003,9.02848318992993
Airlift,0.0,8070.033333333331,5.77849607312529,7,0.0,66.33333333333333,1.5793650793650793,1,0.0,121.65879213579709,6.9999930000070005,4.199130993760211
Aisa Pyaar Kahan,20.0,156.5,1.5495058400718777,3,7.0,41.0,0.5694444444444444,2,2.85714244897965,3.8170730776323643,1.499999250000375,0.9800613956274333
Aisa Yeh Jahaan,6.0,1315.6666666666667,12.257309941520473,3,2.0,94.66666666666669,5.25925925925926,1,2.99999850000075,13.897887177134994,2.9999970000030003,6.998050682261213
Aisha,19.0,632.8333333333333,4.650426076062083,3,71.0,4983.18888888889,7.873991720239509,4,0.2676056300337235,0.12699364750499023,0.7499998125000469,-3.223565644177426
Aisi Bhi Kya Jaldi Hai,33.0,3180.833333333333,7.8026212964374695,5,25.0,1040.5,3.552227342549923,3,1.3199999472000021,3.0570238637927045,1.6666661111112961,4.250393953887547
Aitbaar,20.0,564.0,2.6255307380985498,4,14.0,168.0,1.0566037735849056,1,1.4285713265306197,3.357142837159864,3.9999960000040002,1.568926964513644
Aitraaz,52.0,2818.071428571429,2.808322282777348,3,63.0,2442.3999999999996,4.592039922103213,4,0.8253968122952887,1.1538124088673505,0.7499998125000469,-1.783717639325865
Aiyyaa,13.0,411.0,5.786149162861491,2,40.0,1472.8333333333333,5.058562338298021,3,0.3249999918750002,0.2790539774047387,0.6666664444445185,0.7275868245634705
Ajab Gazabb Love,6.0,994.3333333333335,12.712851405622493,2,3.0,138.83333333333337,2.833333333333334,1,1.9999993333335555,7.16206477434287,1.9999980000020001,9.879518072289159
Ajab Prem Ki Ghazab Kahani,64.0,3520.9416666666666,4.371037099355145,5,27.0,1814.9746031746029,4.36420603047109,2,2.3703702825788784,1.9399399080120392,2.499998750000625,0.006831068884054936
Ajanabee,97.0,3792.3567460317454,2.9734188871931866,6,75.0,1379.7833333333333,4.8687294196265745,6,1.2933333160888891,2.7485161268918277,0.9999998333333611,-1.8953105324333879
Ajnabee,63.0,9814.183333333334,10.332601359104105,4,27.0,1647.6277777777773,6.139769616555331,3,2.3333332469135835,5.9565536947996645,1.333332888889037,4.192831742548774
